65.53571428571428 201.23422038095237 [7, 11, 9, 5, 4, 7, 9, 5, 9, 11, 2, 9, 5, 8, 5, 4, 4, 11, 7, 2, 7, 9, 5, 7, 11, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 8, 9, 5, 4, 4, 11, 9, 9, 1, 8, 5, 11, 4, 7, 9, 5, 4, 7, 0, 3, 9, 9, 7, 11, 3, 3, 7, 0, 11, 9, 11, 7, 9, 11, 3, 9, 7, 11, 11, 4, 3, 7, 9, 7, 9, 3, 11, 4, 4, 9, 4, 9, 9]
53.90674603174604 307.5924155297618 [4, 11, 3, 0, 11, 7, 9, 5, 11, 9, 12, 4, 9, 8, 5, 0, 3, 15, 7, 2, 7, 9, 3, 11, 4, 8, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 7, 0, 11, 3, 7, 9, 5, 11, 4, 5, 9, 7, 3, 1, 11, 0, 1, 15, 4, 5, 11, 11, 9, 2, 12, 15, 13, 4, 15, 11, 4, 5, 9, 7, 11, 0, 9, 4, 7, 0, 1, 15, 4, 5, 11, 11, 9, 2, 12, 15, 13, 4, 15, 11, 4, 5, 9, 9]
54.0952380952381 281.0714840992063 [11, 11, 3, 0, 11, 7, 9, 5, 11, 9, 12, 4, 9, 8, 5, 4, 4, 11, 7, 2, 7, 9, 5, 7, 11, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 11, 9, 12, 4, 9, 11, 4, 7, 5, 9, 7, 3, 11, 4, 8, 11, 3, 0, 11, 4, 5, 9, 7, 3, 11, 4, 8, 1, 9, 9, 11, 4, 4, 5, 4, 11, 5, 9, 7, 11, 0, 3, 11, 7, 7, 11, 12, 9, 5, 8, 0, 4, 11]
54.0952380952381 281.0714840992063 [11, 11, 3, 0, 11, 7, 9, 5, 11, 9, 12, 4, 9, 8, 5, 4, 4, 11, 7, 2, 7, 9, 5, 7, 11, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 11, 9, 12, 4, 9, 11, 4, 7, 5, 9, 7, 3, 11, 4, 8, 11, 3, 0, 11, 4, 5, 9, 7, 3, 11, 4, 8, 1, 9, 9, 11, 4, 4, 5, 4, 11, 5, 9, 7, 11, 0, 3, 11, 7, 7, 11, 12, 9, 5, 8, 0, 4, 11]
54.541666666666664 262.0480942400794 [11, 11, 9, 5, 11, 7, 9, 5, 9, 11, 2, 9, 5, 8, 0, 4, 4, 11, 7, 2, 7, 9, 5, 7, 11, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 11, 4, 5, 4, 4, 11, 9, 9, 1, 8, 5, 9, 7, 3, 4, 11, 4, 3, 0, 8, 11, 8, 4, 11, 3, 7, 9, 8, 12, 4, 9, 11, 4, 7, 5, 9, 7, 3, 11, 4, 8, 11, 3, 0, 11, 4, 5, 9, 8, 9, 7, 11, 9]
55.464285714285715 246.3110773492064 [7, 11, 9, 5, 4, 7, 9, 5, 9, 11, 2, 9, 5, 8, 5, 4, 4, 11, 7, 2, 7, 9, 5, 7, 11, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 8, 9, 5, 4, 4, 11, 9, 9, 1, 8, 5, 9, 7, 3, 4, 11, 4, 3, 0, 8, 4, 8, 9, 11, 11, 0, 2, 5, 7, 3, 2, 11, 9, 5, 4, 11, 3, 9, 7, 11, 8, 0, 7, 4, 7, 9, 0, 11, 11, 5, 8, 9, 9]
54.8547619047619 248.10249097222228 [11, 11, 9, 5, 11, 7, 9, 5, 9, 11, 2, 9, 5, 8, 0, 4, 4, 11, 7, 2, 7, 9, 5, 7, 11, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 11, 4, 5, 4, 4, 11, 11, 0, 1, 8, 5, 9, 7, 3, 4, 11, 4, 3, 0, 8, 11, 8, 4, 11, 3, 7, 3, 0, 11, 4, 5, 9, 7, 3, 11, 4, 8, 1, 9, 9, 11, 3, 7, 7, 11, 4, 4, 5, 8, 9, 7, 11, 9]
57.71428571428571 226.79417863492068 [7, 11, 9, 5, 4, 7, 9, 5, 9, 11, 2, 9, 5, 8, 5, 4, 4, 11, 7, 2, 7, 9, 5, 7, 11, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 8, 9, 5, 4, 4, 11, 9, 9, 1, 8, 4, 11, 3, 7, 9, 5, 4, 11, 0, 3, 11, 9, 7, 3, 4, 11, 4, 9, 7, 4, 8, 11, 3, 0, 11, 4, 5, 9, 7, 3, 11, 4, 8, 3, 11, 7, 11, 4, 4, 5, 8, 9, 9]
55.807142857142864 242.19598249206354 [7, 11, 9, 5, 4, 7, 9, 5, 9, 11, 2, 9, 5, 8, 5, 4, 4, 11, 7, 2, 7, 9, 5, 7, 11, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 8, 9, 5, 4, 4, 11, 9, 9, 1, 8, 5, 11, 7, 3, 4, 11, 4, 15, 1, 0, 11, 1, 3, 7, 9, 5, 4, 11, 11, 9, 8, 11, 5, 9, 7, 3, 4, 11, 4, 9, 7, 3, 11, 4, 8, 1, 9, 9, 0, 11, 8, 9, 9]
55.866666666666674 239.12882026190485 [7, 11, 9, 5, 4, 7, 9, 5, 9, 11, 2, 9, 5, 8, 5, 4, 4, 11, 7, 2, 7, 9, 5, 7, 11, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 8, 9, 5, 4, 4, 11, 9, 9, 1, 8, 5, 11, 7, 7, 3, 4, 4, 11, 0, 3, 11, 8, 4, 11, 3, 7, 9, 5, 7, 3, 2, 11, 9, 5, 4, 8, 4, 8, 9, 11, 11, 0, 2, 9, 11, 4, 5, 9, 7, 3, 11, 9, 9]
